CustomerID,TotalSpent,NumOrders,AvgOrderValue
,1755276.64,1428,13.27542459537135
14646,280206.02,73,134.97399807321773
18102,259657.3,60,602.45313225058
17450,194550.79,46,577.3020474777448
16446,168472.5,2,56157.5
14911,143825.06,201,25.343622907488985
12415,124914.53,21,174.95032212885152
14156,117379.63,55,83.84259285714286
17511,91062.38,31,94.5611422637591
16029,81024.84,63,334.813388429752
12346,77183.6,1,77183.6
16684,66653.56,28,240.6265703971119
14096,65164.79,17,12.749909998043435
13694,65039.62,50,114.50637323943663
15311,60767.9,91,25.543463640184953
13089,58825.83,97,32.35744224422442
17949,58510.48,45,835.864
15769,56252.72,26,432.7132307692308
15061,54534.14,48,135.32044665012407
14298,51527.3,44,31.476664630421503
14088,50491.81,13,85.7246349745331
15749,44534.3,3,4453.43
12931,42055.96,15,512.8775609756098
17841,40991.57,124,5.223852427679368
15098,39916.5,3,13305.5
13798,37153.85,57,106.4580229226361
16013,37130.6,47,267.126618705036
16422,34684.4,51,93.99566395663958
12748,33719.73,209,7.338352557127313
15838,33643.08,19,201.45556886227547
17404,31906.82,15,161.14555555555555
17389,31833.68,34,149.45389671361502
13098,28882.44,28,50.49377622377622
14680,28754.11,16,111.45003875968993
13081,28337.38,11,27.67322265625
13408,28117.04,62,58.82225941422595
17857,26879.04,23,497.76
16333,26626.8,22,591.7066666666667
13777,25977.16,33,131.86375634517768
12753,21429.39,6,108.77862944162436
12744,21279.29,7,95.85265765765766
16210,21086.3,18,171.43333333333334
17675,20374.28,31,28.89968794326241
17381,20275.61,29,186.01477064220185
15039,19914.44,47,13.25861517976032
12471,19824.05,30,43.09576086956522
12731,18895.91,12,68.96317518248175
15159,18641.01,30,26.25494366197183
12901,17654.54,28,152.19431034482758
12678,17628.46,12,106.83915151515151
14031,17286.86,19,69.14744
17428,17256.85,28,52.61234756097561
13767,17220.36,37,46.79445652173913
13881,17159.52,20,96.40179775280899
16839,16594.35,34,62.38477443609022
12921,16587.09,37,23.037625
14607,16569.5,14,192.66860465116278
15856,16387.57,27,25.40708527131783
17677,16363.23,30,53.82641447368421
15189,16225.39,41,76.53485849056604
14051,15610.39,23,74.33519047619048
15513,14758.22,19,47.9162987012987
16133,14589.039999999999,33,43.162840236686385
14866,14389.9,12,145.35252525252525
16705,14034.99,20,51.98144444444444
12681,13787.54,22,21.610564263322885
12621,13689.67,20,29.31406852248394
12540,13400.24,17,28.03397489539749
12433,13375.87,7,31.847309523809525
15498,13316.4,27,26.00859375
12477,13219.74,6,44.065799999999996
17735,13110.02,19,19.000028985507246
16525,13027.45,26,71.18825136612023
14258,12669.98,9,114.14396396396396
13078,12627.94,26,35.27357541899441
12536,12601.830000000002,3,48.282873563218395
15640,12515.66,15,25.858801652892563
16000,12393.7,3,1377.0777777777778
17340,12353.29,11,30.352063882063884
12682,12288.22,31,23.406133333333333
13113,12245.96,24,61.2298
14606,12156.65,93,4.502462962962963
12557,11990.960000000001,5,363.36242424242425
12939,11581.8,8,246.42127659574467
15125,11528.48,15,90.77543307086614
14194,11349.52,21,19.601934369602763
12971,11189.91,86,36.68822950819672
14895,11138.71,20,22.3668875502008
12409,11072.67,3,101.58412844036697
15482,11054.96,12,112.80571428571427
17581,11045.039999999999,25,25.102363636363634
13319,10845.55,26,22.784768907563024
17107,10815.43,6,25.874234449760767
13340,10736.48,7,80.12298507462687
14769,10674.75,8,9.79334862385321
17139,10668.47,12,22.31897489539749
16779,10629.72,22,31.92108108108108
17865,10526.32,20,28.449513513513512
17706,10504.49,17,27.498664921465966
15251,10484.99,11,94.45936936936937
14062,10464.85,12,94.27792792792793
15615,10399.74,23,24.585673758865248
15502,10384.93,12,48.75553990610329
16180,10254.18,8,63.29740740740741
16843,10196.57,16,26.97505291005291
12590,9864.26,2,145.06264705882353
13001,9818.82,13,28.964070796460177
13199,9817.12,38,82.49680672268909
15078,9743.11,32,22.14343181818182
12709,9736.52,15,46.81019230769231
13458,9646.57,14,25.252801047120418
